work_id,mp_name,house,state,constituency,vendor_id,work_category,recommended_date,sanction_date,sanctioned_amount,expenditure_amount,completion_percent,beneficiary_ids,tenure_end,is_anomaly,anomaly_type
W-129410,KANWAR SINGH TANWAR,Lok Sabha,Uttar Pradesh,AMROHA,V-196978,Sanitation,2022-06-11,2022-06-11,9333386.24,6619165.0,44,"B-793338,B-633861",,False,
W-640422,KANWAR SINGH TANWAR,Lok Sabha,Uttar Pradesh,AMROHA,V-637190,Sanitation,2022-07-01,2022-07-08,15673960.23,12616235.35,44,"B-331523,B-471782,B-371809,B-873409",,False,
W-185429,KANWAR SINGH TANWAR,Lok Sabha,Uttar Pradesh,AMROHA,V-534975,Sanitation,2024-08-17,2024-09-17,14856291.81,10689092.77,74,"B-987580,B-978068,B-969933",,False,
W-568907,KANWAR SINGH TANWAR,Lok Sabha,Uttar Pradesh,AMROHA,V-843019,Water,2023-05-15,2022-03-05,2430304.34,1939531.85,68,"B-338103,B-173045,B-284054",,True,delayed_completion
W-788575,KARAN BHUSHAN SINGH,Lok Sabha,Uttar Pradesh,KAISERGANJ,V-1782,Water,2021-11-26,2021-12-05,15516927.15,15167586.01,53,"B-427352,B-253454,B-669583,B-19031",,False,
W-751696,KARAN BHUSHAN SINGH,Lok Sabha,Uttar Pradesh,KAISERGANJ,V-560565,Sanitation,2025-01-12,2025-04-03,98635820.98,78717955.98,54,"B-310951,B-68098",,False,
W-396415,KARAN BHUSHAN SINGH,Lok Sabha,Uttar Pradesh,KAISERGANJ,V-37204,Education,2026-07-23,2026-07-27,32112251.87,27094121.21,37,"B-982872,B-836171,B-947406,B-376783",,False,
W-386676,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-940460,Sanitation,2025-08-07,2025-08-22,23217561.75,16199198.62,87,"B-822433,B-759958,B-871051,B-440154",,False,
W-939295,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-724621,Other,2024-03-16,2024-04-08,33631798.95,26882830.91,49,"B-293732,B-444005,B-689221",,False,
W-695350,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-141829,Education,2023-12-05,2023-12-08,19999218.37,19231692.65,42,"B-624898,B-598833,B-661440,B-896348",,False,
W-187120,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-357551,Education,2023-05-15,2023-06-16,9856174.59,8277593.24,77,"B-24746,B-556255,B-198375,B-681432,B-943512",,False,
W-836864,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-443147,Health,2023-03-28,2023-04-18,7525752.6,7122770.83,72,"B-596362,B-176019,B-622063",,False,
W-746385,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-7591,Sanitation,2022-03-20,2022-03-21,73916935.67,63783764.0,67,"B-622432,B-148664,B-493052",,False,
W-816773,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-361730,Health,2023-08-02,2023-08-14,5280134.59,4520704.04,61,"B-13954,B-133454",,False,
W-589727,KARTICK CHANDRA PAUL,Lok Sabha,West Bengal,RAIGANJ,V-336597,Education,2024-06-07,2025-01-12,28237020.11,27382599.49,61,"B-236848,B-764803",,False,
W-952986,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-838833,Health,2024-10-28,2024-10-28,2694220.12,1852951.33,95,"B-720190,B-339614,B-399600",,False,
W-177173,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-36101,Education,2021-11-02,2021-11-07,28410200.05,25330889.57,39,"B-177669,B-33498,B-DUP-014",,True,duplicate_beneficiary
W-366169,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-800173,Health,2025-02-10,2025-03-12,37821995.52,27344084.37,68,"B-889405,B-312080",,False,
W-969893,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-669638,Water,2023-11-23,2023-11-23,11434155.12,10130863.27,60,"B-937146,B-198801,B-977289",,False,
W-842246,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-628406,Education,2022-11-01,2020-10-07,11322220.63,7776478.11,17,"B-424613,B-144189,B-208029,B-591959,B-659599",,True,delayed_completion
W-281796,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-757306,Sanitation,2023-10-14,2023-10-18,22523407.69,17701946.94,46,"B-337627,B-919617,B-835331,B-449558,B-433540",,False,
W-630994,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-153403,Other,2022-03-20,2022-03-28,26554193.46,19599668.49,70,"B-797253,B-984881,B-474723,B-809949,B-184885",,False,
W-305866,Kaushalendra Kumar,Lok Sabha,Bihar,NALANDA,V-111849,Education,2025-01-10,2025-01-19,5504607.4,3583210.61,35,"B-322113,B-242405,B-196062",,False,
W-124152,Khagen Murmu,Lok Sabha,West Bengal,MALDAHA UTTAR,V-829354,Road,2022-02-18,2022-03-22,21844531.22,19921803.68,77,"B-109669,B-607961",,False,
W-794244,Khagen Murmu,Lok Sabha,West Bengal,MALDAHA UTTAR,V-11793,Education,2021-12-07,2021-12-29,33285384.58,30623346.94,36,"B-411250,B-203810,B-913213,B-851075",,False,
W-863692,Khagen Murmu,Lok Sabha,West Bengal,MALDAHA UTTAR,V-762493,Water,2024-11-12,2024-12-08,34661660.27,29716004.0,55,"B-528050,B-906349",,False,
W-850802,Khagen Murmu,Lok Sabha,West Bengal,MALDAHA UTTAR,V-76872,Road,2023-11-01,2023-11-01,30337957.34,19977006.25,39,"B-429923,B-108126,B-983327,B-342935,B-305714",,False,
W-382868,Khagen Murmu,Lok Sabha,West Bengal,MALDAHA UTTAR,V-998558,Other,2024-08-27,2024-09-02,6077913.59,5275734.81,53,"B-158089,B-439097,B-764301,B-247745",,False,
W-182382,Khagen Murmu,Lok Sabha,West Bengal,MALDAHA UTTAR,V-194514,Other,2022-07-10,2022-08-01,20057553.0,16513007.96,75,"B-589342,B-454007,B-638337",,False,
W-365146,Khalilur Rahaman,Lok Sabha,West Bengal,JANGIPUR,V-887658,Other,2022-08-06,2022-08-22,27811470.63,19842196.96,89,"B-205696,B-484571,B-577395,B-397796,B-991988",,False,
W-131337,Khalilur Rahaman,Lok Sabha,West Bengal,JANGIPUR,V-881010,Road,2025-01-18,2025-01-30,15048665.2,11374149.64,73,"B-970604,B-980676,B-532941,B-972300",,False,
W-697302,Khalilur Rahaman,Lok Sabha,West Bengal,JANGIPUR,V-851465,Education,2022-08-30,2022-09-14,20392972.64,17852155.72,37,"B-184768,B-12469",,False,
W-382611,Khalilur Rahaman,Lok Sabha,West Bengal,JANGIPUR,V-805399,Education,2022-02-22,2022-03-09,27501040.7,25968176.63,74,"B-839447,B-802751",,False,
W-934412,Khalilur Rahaman,Lok Sabha,West Bengal,JANGIPUR,V-752564,Road,2022-03-20,2022-04-05,4128408.32,3583357.48,43,"B-247225,B-670329,B-193862,B-211318,B-933404",,False,
W-637585,Khalilur Rahaman,Lok Sabha,West Bengal,JANGIPUR,V-452588,Education,2022-04-10,2022-04-30,51382442.51,47378712.8,68,"B-151814,B-517841",,False,
W-815355,Kinjarapu Ram Mohan Naidu,Lok Sabha,Andhra Pradesh,SRIKAKULAM,V-806454,Education,2026-07-28,2026-08-09,34733025.99,25779379.52,62,"B-331787,B-20479,B-898919,B-360337",,False,
W-804739,Kinjarapu Ram Mohan Naidu,Lok Sabha,Andhra Pradesh,SRIKAKULAM,V-615646,Education,2022-07-13,2022-07-29,52651265.82,46764360.15,42,"B-863270,B-530717,B-552091,B-120797",,False,
W-700221,Kinjarapu Ram Mohan Naidu,Lok Sabha,Andhra Pradesh,SRIKAKULAM,V-469861,Health,2025-05-31,2025-07-02,52860185.12,45226742.99,49,"B-616336,B-584345,B-628126",,False,
W-996923,Kinjarapu Ram Mohan Naidu,Lok Sabha,Andhra Pradesh,SRIKAKULAM,V-283609,Other,2023-01-30,2023-02-01,30100150.03,24119251.83,42,"B-316895,B-96702,B-227901,B-356852,B-28907",,False,
W-335034,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,V-242438,Health,2023-05-04,2023-05-29,27970593.92,25939655.33,67,"B-234234,B-213118,B-256388,B-236034",,False,
W-758443,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,V-86645,Education,2024-07-27,2024-08-11,7960038.28,6207850.39,36,"B-260436,B-610836,B-424247",,False,
W-742485,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,V-31952,Education,2023-09-12,2023-09-26,53792761.91,37260742.84,54,"B-841056,B-566002,B-102468",,False,
W-658721,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,V-927715,Road,2023-05-18,2023-05-31,23783612.69,15730687.14,50,"B-22094,B-115301,B-62007",,False,
W-503218,Kiren Rijiju,Lok Sabha,Arunachal Pradesh,ARUNACHAL WEST,V-620764,Road,2023-07-17,2023-08-12,32757993.2,27540366.82,75,"B-519185,B-819069,B-36495,B-304087,B-973006",,False,
W-278661,Kirti Vardhan Singh,Lok Sabha,Uttar Pradesh,GONDA,V-294478,Health,2025-11-14,2025-12-17,36929669.25,25203582.15,40,"B-938346,B-343939,B-338928",,False,
W-442317,Kirti Vardhan Singh,Lok Sabha,Uttar Pradesh,GONDA,V-315136,Health,2023-06-19,2023-06-22,35018209.18,28025173.98,67,"B-862050,B-797057",,False,
W-222851,Kirti Vardhan Singh,Lok Sabha,Uttar Pradesh,GONDA,V-517717,Sanitation,2026-07-13,2026-07-19,12067426.6,8922951.47,36,"B-383074,B-66590",,False,
W-201607,Kirti Vardhan Singh,Lok Sabha,Uttar Pradesh,GONDA,V-290211,Sanitation,2025-12-24,2026-01-13,9069507.07,7207093.56,90,"B-599249,B-37517,B-466800,B-333779,B-498785",,False,
W-301704,Kirti Vardhan Singh,Lok Sabha,Uttar Pradesh,GONDA,V-525107,Road,2024-07-21,2024-08-02,41951330.4,39522610.27,83,"B-402481,B-816983,B-881318",,False,
W-174506,Kirti Vardhan Singh,Lok Sabha,Uttar Pradesh,GONDA,V-502517,Education,2022-05-05,2022-06-05,11228857.5,7461695.4,49,"B-675713,B-653558,B-645969",,False,
W-209808,Kishan Reddy Gangapuram,Lok Sabha,Telangana,SECUNDERABAD,V-875179,Road,2026-05-19,2026-06-06,12927265.37,11960547.3,85,"B-116563,B-359707,B-400413",,False,
W-924246,Kishan Reddy Gangapuram,Lok Sabha,Telangana,SECUNDERABAD,V-652775,Road,2025-03-14,2025-04-02,17663477.81,13550024.28,65,"B-181727,B-715631,B-564533,B-686794",,False,
W-355511,Kishan Reddy Gangapuram,Lok Sabha,Telangana,SECUNDERABAD,V-187880,Water,2022-08-23,2022-09-05,8969847.33,6967487.21,70,"B-818508,B-522811,B-711833,B-240645",,False,
W-376405,Kishan Reddy Gangapuram,Lok Sabha,Telangana,SECUNDERABAD,V-13463,Water,2024-08-23,2024-08-25,38664213.74,33493537.2,40,"B-993646,B-407299,B-186189,B-167740",,False,
W-166405,Kishan Reddy Gangapuram,Lok Sabha,Telangana,SECUNDERABAD,V-135443,Road,2024-02-07,2024-02-22,33161993.58,45544061.77,75,"B-151478,B-107130,B-180960,B-812387,B-560333",,True,cost_overrun
W-816022,Kishan Reddy Gangapuram,Lok Sabha,Telangana,SECUNDERABAD,V-295832,Water,2025-01-02,2025-01-31,34878202.16,26984742.88,83,"B-928259,B-664098,B-120170",,False,
W-559051,KISHORI LAL,Lok Sabha,Uttar Pradesh,AMETHI,V-820726,Sanitation,2023-01-10,2023-02-12,36080180.28,28301045.9,44,"B-629791,B-672051,B-841772",,False,
W-164486,KISHORI LAL,Lok Sabha,Uttar Pradesh,AMETHI,V-55460,Health,2024-11-24,2024-12-04,92568912.13,71765456.83,65,"B-380075,B-507411",,False,
W-608081,KISHORI LAL,Lok Sabha,Uttar Pradesh,AMETHI,V-349029,Other,2023-03-22,2023-03-31,41993407.59,34588960.27,82,B-DUP-008,,True,duplicate_beneficiary
W-223581,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-965130,Sanitation,2022-04-15,2022-04-15,44682403.77,41742742.83,79,"B-260003,B-212966,B-507518,B-664909",,False,
W-930383,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-799830,Road,2023-06-15,2023-07-11,22792241.75,18529954.99,70,"B-111443,B-871819,B-905793,B-611425",,False,
W-999542,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-186776,Road,2024-02-25,2024-03-05,11216162.66,10894708.15,51,"B-924089,B-478967,B-882175",,False,
W-480414,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-993070,Other,2025-03-01,2025-03-06,27856540.52,18620762.68,49,"B-435500,B-163685,B-609805,B-695515",,False,
W-444207,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-571895,Education,2023-11-30,2024-06-08,29478381.37,27875116.59,89,"B-437546,B-583908,B-567393,B-666097",,True,sanction_delay
W-450067,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-194382,Health,2024-05-01,2024-07-25,18822596.12,16724503.94,58,"B-628449,B-820267,B-86497",,False,
W-108281,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-837909,Water,2026-05-25,2026-06-15,10676819.98,7220978.83,71,"B-247231,B-770874",,False,
W-592095,KONDA VISHWESHWAR REDDY,Lok Sabha,Telangana,CHELVELLA,V-339277,Road,2025-10-06,2025-10-20,67027667.69,48032033.56,58,"B-425179,B-378067,B-80407,B-48092,B-713760",,False,
W-386046,KOTA SRINIVAS POOJARY,Lok Sabha,Karnataka,UDUPI CHIKMAGALUR,V-735416,Other,2024-03-09,2024-04-07,7770431.28,5269309.36,90,"B-670282,B-693138",,False,
W-864738,KOTA SRINIVAS POOJARY,Lok Sabha,Karnataka,UDUPI CHIKMAGALUR,V-807663,Water,2022-08-15,2021-07-02,22834572.03,17513869.6,66,"B-198596,B-787504,B-434171",,True,delayed_completion
W-758799,KOTA SRINIVAS POOJARY,Lok Sabha,Karnataka,UDUPI CHIKMAGALUR,V-892834,Health,2021-11-02,2021-11-26,6152065.87,5315557.04,37,"B-482977,B-360810,B-987374,B-355691",,False,
W-318653,KOTA SRINIVAS POOJARY,Lok Sabha,Karnataka,UDUPI CHIKMAGALUR,V-525556,Health,2025-02-08,2025-02-26,12249733.31,10255416.45,76,"B-91683,B-31854,B-482025",,False,
W-564243,KOTA SRINIVAS POOJARY,Lok Sabha,Karnataka,UDUPI CHIKMAGALUR,V-242119,Education,2025-05-06,2025-05-10,97258197.51,70485312.27,56,"B-766590,B-100957,B-513637",,False,
W-859338,Kripanath Mallah,Lok Sabha,Assam,KARIMGANJ (SC),V-903074,Sanitation,2026-03-20,2026-04-10,14368678.98,12318321.16,51,"B-390743,B-80762,B-966586,B-872976",,False,
W-697832,Kripanath Mallah,Lok Sabha,Assam,KARIMGANJ (SC),V-4639,Education,2026-08-18,2026-08-29,36817379.92,24705863.68,81,"B-35323,B-30878",,False,
W-874145,Kripanath Mallah,Lok Sabha,Assam,KARIMGANJ (SC),V-803103,Water,2024-07-18,2024-07-23,46619229.91,32208625.21,85,"B-581809,B-424473,B-489463,B-220899,B-601782",,False,
W-665457,Kripanath Mallah,Lok Sabha,Assam,KARIMGANJ (SC),V-883584,Health,2024-09-06,2024-09-21,24306744.33,20627020.54,87,"B-480799,B-558823,B-931195,B-107421,B-87365",,False,
W-593491,Kripanath Mallah,Lok Sabha,Assam,KARIMGANJ (SC),V-623920,Education,2026-08-30,2026-09-11,9134852.29,7526591.84,78,"B-755698,B-827048,B-17786,B-845072",,False,
W-799413,Kripanath Mallah,Lok Sabha,Assam,KARIMGANJ (SC),V-261923,Other,2022-11-08,2022-11-19,15018114.57,12129007.12,74,"B-835542,B-997784,B-211002,B-803857,B-93385",,False,
W-694176,Krishan Pal Gurjar,Lok Sabha,Haryana,FARIDABAD,V-416142,Sanitation,2023-05-04,2023-06-01,38100339.43,29157281.18,89,"B-164055,B-331040",,False,
W-691739,Krishan Pal Gurjar,Lok Sabha,Haryana,FARIDABAD,V-984695,Health,2022-05-04,2022-05-07,8225782.98,6960720.67,52,"B-134907,B-103134,B-396834,B-689214",,False,
W-105321,Krishan Pal Gurjar,Lok Sabha,Haryana,FARIDABAD,V-749262,Sanitation,2025-09-27,2025-10-02,49872487.19,39331492.46,83,"B-634587,B-386991,B-689719",,False,
W-216028,Krishan Pal Gurjar,Lok Sabha,Haryana,FARIDABAD,V-799802,Health,2025-06-09,2025-06-28,50066390.4,35335956.87,55,"B-859238,B-691570,B-939135",,False,
W-686835,KRISHNA DEVI SHIVSHANKER PATEL,Lok Sabha,Uttar Pradesh,BANDA,V-561095,Road,2024-12-12,2025-01-05,39925108.87,37882162.05,88,"B-678950,B-29086,B-167214,B-983242",,False,
W-643439,KRISHNA DEVI SHIVSHANKER PATEL,Lok Sabha,Uttar Pradesh,BANDA,V-170450,Health,2024-07-22,2024-07-24,9765997.96,7220709.29,50,"B-962248,B-763874,B-269184,B-210261",,False,
W-271732,KRISHNA DEVI SHIVSHANKER PATEL,Lok Sabha,Uttar Pradesh,BANDA,V-287623,Other,2026-03-09,2026-03-26,75782140.94,62976638.02,52,"B-989359,B-496375,B-671815,B-970243",,False,
W-596089,KRISHNA DEVI SHIVSHANKER PATEL,Lok Sabha,Uttar Pradesh,BANDA,V-786170,Other,2023-09-04,2023-09-17,20791752.22,18824551.46,86,"B-22822,B-81839,B-200687,B-123178",,False,
W-832528,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-446056,Sanitation,2023-03-31,2023-04-23,14110801.02,11802245.41,40,"B-473305,B-831294",,False,
W-325833,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-602632,Health,2021-10-25,2021-11-23,8993968.01,7619874.94,45,"B-643082,B-941406,B-804976,B-489117,B-103907",,False,
W-681172,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-52271,Health,2025-10-15,2025-11-09,57351545.83,44121580.94,82,"B-980282,B-517243,B-985530,B-499310",,False,
W-348096,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-232119,Water,2024-01-05,2024-02-03,9763261.63,8154293.52,93,"B-508626,B-915498,B-230260,B-664079,B-253742",,False,
W-511827,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-264727,Road,2022-06-03,2022-06-27,20008535.68,14304705.62,85,"B-433854,B-932235,B-480834,B-345654,B-458540",,False,
W-327021,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-486422,Sanitation,2022-04-17,2022-04-17,5008039.12,4856338.25,78,"B-282701,B-371616",,False,
W-574392,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-255607,Other,2022-09-10,2022-09-29,7115160.66,6424480.36,51,"B-747885,B-932948,B-376191,B-13860,B-871651",,False,
W-837998,Krishna Prasad Tenneti,Lok Sabha,Andhra Pradesh,BAPATLA,V-DUP-004,Water,2021-09-02,2021-10-06,44606552.91,37793178.87,73,"B-948684,B-193693,B-991157,B-131009,B-928965",,True,duplicate_vendor
W-932658,KRITI DEVI DEBBARMAN,Lok Sabha,Tripura,TRIPURA EAST(ST),V-658249,Sanitation,2023-06-08,2023-07-05,58156097.82,53889933.87,87,"B-377545,B-652171,B-966284,B-871287",,False,
W-332000,KRITI DEVI DEBBARMAN,Lok Sabha,Tripura,TRIPURA EAST(ST),V-410031,Health,2025-03-15,2025-03-28,53973066.88,50468789.95,66,"B-501554,B-29136,B-170119,B-25132",,False,
W-588022,KRITI DEVI DEBBARMAN,Lok Sabha,Tripura,TRIPURA EAST(ST),V-853540,Education,2022-09-19,2022-10-15,34135835.3,32344370.55,66,"B-746627,B-758813,B-111341,B-318916",,False,
W-625940,KULDEEP INDORA,Lok Sabha,Rajasthan,GANGANAGAR(SC),V-155342,Health,2024-08-01,2024-08-21,53069662.99,47072227.47,35,"B-890180,B-987700,B-881955,B-265848",,False,
W-118622,KULDEEP INDORA,Lok Sabha,Rajasthan,GANGANAGAR(SC),V-360823,Water,2022-01-21,2022-02-18,16959486.15,13159013.61,94,"B-239163,B-607889,B-43806,B-459037",,False,
W-190020,KULDEEP INDORA,Lok Sabha,Rajasthan,GANGANAGAR(SC),V-823836,Road,2024-10-27,2024-11-14,46133126.25,38411050.46,36,"B-252684,B-507615,B-548351,B-703230",,False,
W-300850,KULDEEP INDORA,Lok Sabha,Rajasthan,GANGANAGAR(SC),V-710123,Other,2023-03-26,2023-04-12,30102724.61,22917206.68,94,"B-427379,B-693224,B-792872,B-974794,B-886019",,False,
W-381088,KUNDURU RAGHUVEER,Lok Sabha,Telangana,NALGONDA,V-17505,Water,2026-08-01,2026-08-04,59371125.49,53060891.0,50,"B-618123,B-428596,B-731635,B-505372,B-890603",,False,
W-356441,KUNDURU RAGHUVEER,Lok Sabha,Telangana,NALGONDA,V-675752,Water,2026-04-09,2026-05-11,5870009.58,5094334.88,36,"B-535987,B-999944",,False,
W-950245,KUNDURU RAGHUVEER,Lok Sabha,Telangana,NALGONDA,V-117055,Education,2025-07-15,2025-07-17,18612089.79,13522953.22,41,"B-902751,B-779875,B-835452,B-565535,B-323238",,False,
W-750588,KUNDURU RAGHUVEER,Lok Sabha,Telangana,NALGONDA,V-347939,Other,2025-04-15,2025-05-18,52359986.28,40633089.36,54,"B-773759,B-448926,B-600727",,False,
W-264094,KUNDURU RAGHUVEER,Lok Sabha,Telangana,NALGONDA,V-218172,Education,2021-10-25,2021-11-11,25924050.74,19346006.15,94,"B-877686,B-292287,B-340601,B-620857,B-730307,B-DUP-016",,True,duplicate_beneficiary
W-441033,LALJI VERMA,Lok Sabha,Uttar Pradesh,AMBEDKAR NAGAR,V-989423,Water,2024-09-04,2024-09-19,20580750.01,13461270.39,45,"B-640945,B-220685",,False,
W-813379,LALJI VERMA,Lok Sabha,Uttar Pradesh,AMBEDKAR NAGAR,V-351477,Water,2025-04-13,2025-04-18,42940096.64,33249959.42,38,"B-144064,B-649875",,False,
W-609411,LALJI VERMA,Lok Sabha,Uttar Pradesh,AMBEDKAR NAGAR,V-256485,Sanitation,2025-10-24,2025-11-23,8585252.95,8264478.92,78,"B-995627,B-367232,B-362847",,False,
W-371973,LALJI VERMA,Lok Sabha,Uttar Pradesh,AMBEDKAR NAGAR,V-920967,Education,2025-08-20,2025-08-20,74158900.39,64485818.72,78,"B-264189,B-143575,B-397196,B-767864,B-980729",,False,
W-531091,Lavu Sri Krishna Devarayalu,Lok Sabha,Andhra Pradesh,NARASARAOPET,V-100367,Water,2022-10-21,2020-05-06,76348921.41,69654861.94,56,"B-122463,B-801750",,True,delayed_completion
W-849134,Lavu Sri Krishna Devarayalu,Lok Sabha,Andhra Pradesh,NARASARAOPET,V-649107,Other,2024-08-05,2024-08-27,29380318.55,26434278.74,45,"B-920299,B-683543,B-359642,B-477273",,False,
W-723141,Lavu Sri Krishna Devarayalu,Lok Sabha,Andhra Pradesh,NARASARAOPET,V-707889,Water,2023-05-03,2023-05-12,28433066.42,20180920.44,94,"B-357728,B-904070,B-772063",,False,
W-716548,Lavu Sri Krishna Devarayalu,Lok Sabha,Andhra Pradesh,NARASARAOPET,V-DUP-004,Education,2021-09-12,2021-09-28,38977308.41,32715512.08,67,"B-379176,B-391613,B-750689,B-538641,B-691429",,True,duplicate_vendor
W-633690,LAXMIKANT PAPPU NISHAD,Lok Sabha,Uttar Pradesh,SANT KABIR NAGAR,V-900092,Sanitation,2024-09-23,2024-10-20,27980184.48,18600497.25,51,"B-668271,B-396962,B-34022,B-238303,B-973440",,False,
W-601120,LAXMIKANT PAPPU NISHAD,Lok Sabha,Uttar Pradesh,SANT KABIR NAGAR,V-19628,Health,2023-08-11,2023-09-14,12186750.63,9278606.92,69,B-DUP-007,,True,duplicate_beneficiary
W-549289,LAXMIKANT PAPPU NISHAD,Lok Sabha,Uttar Pradesh,SANT KABIR NAGAR,V-768491,Road,2022-04-10,2022-05-12,10734327.32,9047422.5,93,"B-4118,B-379084,B-529351,B-376444",,False,
W-638399,LAXMIKANT PAPPU NISHAD,Lok Sabha,Uttar Pradesh,SANT KABIR NAGAR,V-635050,Sanitation,2024-09-05,2024-09-07,78451704.57,71873997.63,67,"B-386014,B-437526,B-863157,B-903945",,True,duplicate_vendor
W-154794,LAXMIKANT PAPPU NISHAD,Lok Sabha,Uttar Pradesh,SANT KABIR NAGAR,V-384984,Other,2022-11-18,2022-12-08,16912032.99,14843832.62,58,"B-231010,B-966394,B-74895,B-365341,B-870913",,False,
W-286807,LOVELY ANAND,Lok Sabha,Bihar,SHEOHAR,V-741524,Sanitation,2021-12-26,2022-01-11,12383914.11,11528377.33,61,"B-623706,B-140759,B-894023",,False,
W-776191,LOVELY ANAND,Lok Sabha,Bihar,SHEOHAR,V-158444,Other,2023-01-21,2023-02-05,21490536.64,18689111.2,92,"B-507350,B-167791",,False,
W-170765,LOVELY ANAND,Lok Sabha,Bihar,SHEOHAR,V-637691,Other,2023-10-31,2023-11-14,64753773.25,48701654.72,63,"B-6927,B-552418,B-824247,B-85176",,False,
W-540887,LOVELY ANAND,Lok Sabha,Bihar,SHEOHAR,V-413424,Health,2025-04-20,2025-04-24,47636776.0,34622474.92,51,"B-900092,B-482144,B-450016,B-954618",,False,
W-776382,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-98528,Road,2022-11-30,2022-12-31,23795911.96,21311864.48,84,"B-172180,B-993056,B-602954",,False,
W-621536,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-152403,Other,2023-03-16,2023-04-15,21382707.92,22855052.21,93,"B-287747,B-211253",,False,
W-346965,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-723131,Road,2023-05-09,2023-06-12,5771201.18,4606961.59,70,"B-767795,B-102958",,False,
W-547162,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-737503,Health,2025-11-01,2025-12-07,35527400.22,34016269.91,58,"B-912226,B-1761",,True,sanction_delay
W-960278,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-918727,Education,2022-08-31,2022-09-11,43175569.69,30868102.92,78,"B-993598,B-14581,B-409643",,False,
W-116928,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-788185,Health,2022-10-26,2022-11-11,13749172.75,11222592.97,36,"B-797460,B-9475,B-614920",,False,
W-357358,LUMBARAM,Lok Sabha,Rajasthan,JALORE,V-140467,Health,2026-04-22,2026-04-27,2863036.28,2474608.09,79,"B-23451,B-128223,B-582429,B-269416,B-439941",,False,
W-107661,M. MALLESH BABU,Lok Sabha,Karnataka,KOLAR(SC),V-174986,Road,2022-06-28,2022-07-12,58785096.1,43265499.66,74,"B-990260,B-398007,B-89769",,False,
W-319307,M. MALLESH BABU,Lok Sabha,Karnataka,KOLAR(SC),V-599282,Water,2026-06-29,2026-07-04,14684947.82,12737976.66,56,"B-443179,B-129947,B-523176,B-231802",,False,
W-571621,M. MALLESH BABU,Lok Sabha,Karnataka,KOLAR(SC),V-557284,Education,2024-08-23,2024-09-01,30759647.45,25615853.68,39,"B-79081,B-223823,B-228889",,False,
W-810887,M. MALLESH BABU,Lok Sabha,Karnataka,KOLAR(SC),V-71943,Education,2026-05-18,2026-06-14,29616851.01,28594323.57,72,B-DUP-012,,True,duplicate_beneficiary
W-939642,M. MALLESH BABU,Lok Sabha,Karnataka,KOLAR(SC),V-90080,Education,2026-08-26,2026-09-25,12484084.94,11018241.01,82,"B-380072,B-617095,B-485546,B-680522",,False,
